calendarid,schoolid,calendar_startdate,calendar_enddate,endyear
332,28,2018-08-15,2019-06-14,2019
333,29,2018-08-15,2019-06-14,2019
334,30,2018-08-15,2019-06-14,2019
335,31,2018-08-15,2019-06-14,2019
336,32,2018-08-15,2019-06-14,2019
337,71,2018-08-16,2019-06-14,2019
338,33,2018-08-15,2019-06-14,2019
339,34,2018-08-15,2019-06-14,2019
340,50,2018-08-15,2019-06-21,2019
341,35,2018-08-15,2019-06-14,2019
342,51,2018-08-15,2019-06-14,2019
343,62,2018-08-15,2019-06-21,2019
344,36,2018-08-15,2019-06-14,2019
345,37,2018-08-15,2019-06-14,2019
346,76,2018-08-15,2019-06-14,2019
347,56,2018-08-15,2019-06-14,2019
348,38,2018-08-15,2019-06-14,2019
349,54,2018-08-15,2019-06-14,2019
350,39,2018-08-15,2019-06-14,2019
351,41,2018-08-15,2019-06-14,2019
353,59,2018-08-15,2019-06-14,2019
355,49,2018-08-15,2019-06-14,2019
356,58,2018-08-15,2019-06-14,2019
357,74,2018-08-15,2019-06-21,2019
358,55,2018-08-15,2019-06-14,2019
359,65,2018-08-15,2019-06-14,2019
360,60,2018-08-15,2019-06-14,2019
361,79,2018-08-15,2019-06-14,2019
362,61,2018-08-15,2019-06-14,2019
363,70,2018-08-15,2019-06-14,2019
364,78,2018-08-15,2019-06-14,2019
365,80,2018-08-15,2019-06-14,2019
366,63,2018-08-15,2019-06-14,2019
367,64,2018-08-15,2019-06-14,2019
368,73,2018-08-15,2019-06-14,2019
369,84,2018-08-15,2019-06-14,2019
370,82,2018-08-15,2019-06-14,2019
371,81,2018-08-15,2019-06-14,2019
372,83,2018-08-16,2019-06-14,2019
373,85,2018-08-15,2019-06-14,2019
374,29,2019-08-19,2020-06-12,2020
375,30,2019-08-19,2020-06-12,2020
376,37,2019-08-16,2020-06-12,2020
377,83,2019-08-16,2020-06-12,2020
378,35,2019-08-15,2020-06-12,2020
379,38,2019-08-16,2020-06-12,2020
380,81,2019-08-16,2020-06-12,2020
381,73,2019-08-16,2020-06-12,2020
382,59,2019-08-15,2020-06-12,2020
383,76,2019-08-19,2020-06-12,2020
384,39,2019-08-19,2020-06-12,2020
385,60,2019-08-16,2020-06-12,2020
386,36,2019-08-15,2020-06-12,2020
387,50,2019-08-14,2020-06-19,2020
388,63,2019-08-15,2020-06-12,2020
389,54,2019-08-16,2020-06-12,2020
390,33,2019-08-16,2020-06-12,2020
391,34,2019-08-15,2020-06-12,2020
392,62,2019-08-15,2020-06-19,2020
393,41,2019-08-16,2020-06-12,2020
394,79,2019-08-16,2020-06-12,2020
395,32,2019-08-16,2020-06-12,2020
396,49,2019-08-15,2020-06-12,2020
397,82,2019-08-19,2020-06-12,2020
398,51,2019-08-15,2020-06-12,2020
399,28,2019-08-15,2020-06-12,2020
400,56,2019-08-15,2020-06-12,2020
401,31,2019-08-16,2020-06-12,2020
403,70,2019-08-15,2020-06-12,2020
404,65,2019-08-15,2020-06-12,2020
405,58,2019-08-16,2020-06-12,2020
406,86,2019-08-16,2020-06-12,2020
407,85,2019-08-15,2020-06-12,2020
408,55,2019-08-15,2020-06-12,2020
409,64,2019-08-16,2020-06-12,2020
410,61,2019-08-15,2020-06-12,2020
411,78,2019-08-16,2020-06-12,2020
412,80,2019-08-16,2020-06-12,2020
413,74,2019-08-15,2020-06-19,2020
414,84,2019-08-16,2020-06-12,2020
415,71,2019-08-19,2020-06-12,2020
416,30,2020-09-01,2021-06-25,2021
417,50,2020-09-01,2021-06-25,2021
418,74,2020-09-01,2021-06-25,2021
419,59,2020-09-01,2021-06-25,2021
420,62,2020-09-01,2021-06-25,2021
421,28,2020-09-01,2021-06-25,2021
422,29,2020-08-27,2021-06-25,2021
423,55,2020-09-01,2021-06-25,2021
424,65,2020-09-01,2021-06-25,2021
425,60,2020-09-01,2021-06-25,2021
426,79,2020-09-01,2021-06-25,2021
427,54,2020-09-01,2021-06-25,2021
428,39,2020-09-01,2021-06-25,2021
429,49,2020-09-01,2021-06-25,2021
430,58,2020-09-01,2021-06-25,2021
431,76,2020-09-01,2021-06-25,2021
432,36,2020-09-01,2021-06-25,2021
433,84,2020-09-01,2021-06-25,2021
434,37,2020-09-01,2021-06-25,2021
435,33,2020-09-01,2021-06-25,2021
436,34,2020-09-01,2021-06-25,2021
437,31,2020-09-01,2021-06-25,2021
438,32,2020-09-01,2021-06-25,2021
440,56,2020-09-01,2021-06-25,2021
441,38,2020-09-01,2021-06-25,2021
442,35,2020-09-01,2021-06-25,2021
443,51,2020-09-01,2021-06-25,2021
444,41,2020-09-01,2021-06-25,2021
445,85,2020-09-01,2021-06-25,2021
446,70,2020-09-01,2021-06-25,2021
447,86,2020-09-01,2021-06-25,2021
448,63,2020-09-01,2021-06-25,2021
449,82,2020-09-01,2021-06-25,2021
450,64,2020-09-01,2021-06-25,2021
451,81,2020-09-01,2021-06-25,2021
452,61,2020-09-01,2021-06-25,2021
453,78,2020-09-01,2021-06-25,2021
454,80,2020-08-31,2021-06-11,2021
456,73,2020-09-01,2021-06-25,2021
457,87,2020-09-01,2021-06-25,2021
459,80,2020-09-01,2021-06-25,2021
460,80,2020-07-01,2021-06-30,2021
